metricId;metricName;salesForceName;siteName;dateTime;value;referenceValue
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 17:35;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 17:40;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 17:45;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 17:50;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 17:55;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 18:00;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 18:05;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 18:10;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 18:15;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 18:20;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 18:25;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 18:30;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 18:35;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 18:40;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 18:45;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 18:50;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 18:55;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 19:00;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 19:05;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 19:10;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 19:15;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 19:20;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 19:25;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 19:30;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 19:35;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 19:40;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 19:45;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 19:50;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 19:55;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 20:00;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 20:05;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 20:10;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 20:15;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 20:20;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 20:25;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 20:30;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 20:35;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 20:40;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 20:45;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 20:50;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 20:55;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 21:00;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 21:05;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 21:10;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 21:15;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 21:20;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 21:25;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 21:30;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 21:35;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 21:40;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 21:45;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 21:50;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 21:55;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 22:00;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 22:05;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 22:10;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 22:15;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 22:20;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 22:25;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 22:30;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 22:35;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 22:40;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 22:45;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 22:50;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 22:55;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 23:00;5;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 23:05;5;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 23:10;5;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 23:15;5;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 23:20;5;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 23:25;5;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 23:30;5;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 23:35;5;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 23:40;5;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 23:45;5;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 23:50;5;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 23:55;5;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;07/01/2023 00:00;5;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;07/01/2023 00:05;5;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;07/01/2023 00:10;5;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;07/01/2023 00:15;5;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;07/01/2023 00:20;5;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;07/01/2023 00:25;5;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;07/01/2023 00:30;5;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;07/01/2023 00:35;5;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;07/01/2023 00:40;5;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;07/01/2023 00:45;5;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;07/01/2023 00:50;5;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;07/01/2023 00:55;5;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;07/01/2023 01:00;5;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;07/01/2023 01:05;5;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;07/01/2023 01:10;5;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;07/01/2023 01:15;5;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;07/01/2023 01:20;5;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;07/01/2023 01:25;5;0
